yourlist:M202205184ABAA9BC7178C81CEBC9459510EDDEA34D94DBZ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
AATM_MOUSE,P05202,AATM_MOUSE,reviewed,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",Got2 Got-2,Mus musculus (Mouse),430
ABCA6_MOUSE,Q8K441,ABCA6_MOUSE,reviewed,ATP-binding cassette sub-family A member 6 (EC 7.6.2.-),Abca6,Mus musculus (Mouse),1624
ABCB7_MOUSE,Q61102,ABCB7_MOUSE,reviewed,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",Abcb7 Abc7,Mus musculus (Mouse),752
ABCBA_MOUSE,Q9JI39,ABCBA_MOUSE,reviewed,"ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein)",Abcb10,Mus musculus (Mouse),715
ABCBB_MOUSE,Q9QY30,ABCBB_MOUSE,reviewed,Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11) (Sister of P-glycoprotein),Abcb11 Bsep Spgp,Mus musculus (Mouse),1321
ABCD1_MOUSE,P48410,ABCD1_MOUSE,reviewed,ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP),Abcd1 Ald Aldgh,Mus musculus (Mouse),736
ABCD3_MOUSE,P55096,ABCD3_MOUSE,reviewed,ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70),Abcd3 Pmp70 Pxmp1,Mus musculus (Mouse),659
ABCE1_MOUSE,P61222,ABCE1_MOUSE,reviewed,ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),Abce1 Rli,Mus musculus (Mouse),599
ABCF1_MOUSE,Q6P542,ABCF1_MOUSE,reviewed,ATP-binding cassette sub-family F member 1,Abcf1,Mus musculus (Mouse),837
ABCF2_MOUSE,Q99LE6,ABCF2_MOUSE,reviewed,ATP-binding cassette sub-family F member 2,Abcf2,Mus musculus (Mouse),628
ABCG2_MOUSE,Q7TMS5,ABCG2_MOUSE,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein 1 homolog) (Urate exporter) (CD antigen CD338),Abcg2 Abcp Bcrp1,Mus musculus (Mouse),657
ABHD3_MOUSE,Q91ZH7,ABHD3_MOUSE,reviewed,Phospholipase ABHD3 (EC 3.1.1.32) (EC 3.1.1.4) (Abhydrolase domain-containing protein 3) (Lung alpha/beta hydrolase 3) (MmLABH3),Abhd3 Labh3,Mus musculus (Mouse),411
ABHD6_MOUSE,Q8R2Y0,ABHD6_MOUSE,reviewed,Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6),Abhd6,Mus musculus (Mouse),336
ABHDB_MOUSE,Q8K4F5,ABHDB_MOUSE,reviewed,Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein homolog),Abhd11 Wbscr21,Mus musculus (Mouse),307
ABHEB_MOUSE,Q8VCR7,ABHEB_MOUSE,reviewed,Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B),Abhd14b Cib,Mus musculus (Mouse),210
ACACA_MOUSE,Q5SWU9,ACACA_MOUSE,reviewed,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) (Acetyl-CoA carboxylase 265),Acaca Acac Gm738,Mus musculus (Mouse),2345
ACACB_MOUSE,E9Q4Z2,ACACB_MOUSE,reviewed,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),Acacb Acc2 Accb,Mus musculus (Mouse),2448
ACAD8_MOUSE,Q9D7B6,ACAD8_MOUSE,reviewed,"Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",Acad8,Mus musculus (Mouse),413
ACAD9_MOUSE,Q8JZN5,ACAD9_MOUSE,reviewed,"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)",Acad9,Mus musculus (Mouse),625
ACADL_MOUSE,P51174,ACADL_MOUSE,reviewed,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)",Acadl,Mus musculus (Mouse),430
ACADM_MOUSE,P45952,ACADM_MOUSE,reviewed,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)",Acadm,Mus musculus (Mouse),421
ACADS_MOUSE,Q07417,ACADS_MOUSE,reviewed,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)",Acads,Mus musculus (Mouse),412
ACADV_MOUSE,P50544,ACADV_MOUSE,reviewed,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)",Acadvl Vlcad,Mus musculus (Mouse),656
ACATN_MOUSE,Q99J27,ACATN_MOUSE,reviewed,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),Slc33a1 Acatn,Mus musculus (Mouse),550
ACBD5_MOUSE,Q5XG73,ACBD5_MOUSE,reviewed,Acyl-CoA-binding domain-containing protein 5,Acbd5,Mus musculus (Mouse),508
ACBP_MOUSE,P31786,ACBP_MOUSE,reviewed,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),Dbi,Mus musculus (Mouse),87
ACD10_MOUSE,Q8K370,ACD10_MOUSE,reviewed,Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-),Acad10,Mus musculus (Mouse),1069
ACD11_MOUSE,Q80XL6,ACD11_MOUSE,reviewed,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-),Acad11,Mus musculus (Mouse),779
ACDSB_MOUSE,Q9DBL1,ACDSB_MOUSE,reviewed,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",Acadsb,Mus musculus (Mouse),432
ACLY_MOUSE,Q91V92,ACLY_MOUSE,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme),Acly,Mus musculus (Mouse),1091
ACNT1_MOUSE,A2AKK5,ACNT1_MOUSE,reviewed,Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-),Acnat1,Mus musculus (Mouse),416
ACO12_MOUSE,Q9DBK0,ACO12_MOUSE,reviewed,Acetyl-coenzyme A thioesterase (EC 3.1.2.1) (Acyl-CoA thioester hydrolase 12) (Acyl-coenzyme A thioesterase 12) (Acyl-CoA thioesterase 12) (Cytoplasmic acetyl-CoA hydrolase 1) (CACH-1) (mCACH-1),Acot12 Cach Cach1,Mus musculus (Mouse),556
ACO13_MOUSE,Q9CQR4,ACO13_MOUSE,reviewed,Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2),Acot13 Them2,Mus musculus (Mouse),140
ACOC_MOUSE,P28271,ACOHC_MOUSE,reviewed,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),Aco1 Ireb1 Irebp,Mus musculus (Mouse),889
ACON_MOUSE,Q99KI0,ACON_MOUSE,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,Mus musculus (Mouse),780
ACOT1_MOUSE,O55137,ACOT1_MOUSE,reviewed,Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2),Acot1 Cte1,Mus musculus (Mouse),419
ACOT2_MOUSE,Q9QYR9,ACOT2_MOUSE,reviewed,"Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl coenzyme A thioester hydrolase) (MTE-I) (Very-long-chain acyl-CoA thioesterase)",Acot2 Mte1,Mus musculus (Mouse),453
ACOT4_MOUSE,Q8BWN8,ACOT4_MOUSE,reviewed,Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib),Acot4 Pte1b Pte2b,Mus musculus (Mouse),421
ACOT8_MOUSE,P58137,ACOT8_MOUSE,reviewed,Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1),Acot8 Pte1,Mus musculus (Mouse),320
ACOX1_MOUSE,Q9R0H0,ACOX1_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]",Acox1 Acox Paox,Mus musculus (Mouse),661
ACOX2_MOUSE,Q9QXD1,ACOX2_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)",Acox2,Mus musculus (Mouse),681
ACOX3_MOUSE,Q9EPL9,ACOX3_MOUSE,reviewed,Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase),Acox3,Mus musculus (Mouse),700
ACPM_MOUSE,Q9CR21,ACPM_MOUSE,reviewed,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",Ndufab1,Mus musculus (Mouse),156
ACS2L_MOUSE,Q99NB1,ACS2L_MOUSE,reviewed,"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss1 Acas2 Acas2l,Mus musculus (Mouse),682
ACSA_MOUSE,Q9QXG4,ACSA_MOUSE,reviewed,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss2 Acas2 Acecs1,Mus musculus (Mouse),701
ACSF2_MOUSE,Q8VCW8,ACSF2_MOUSE,reviewed,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)",Acsf2,Mus musculus (Mouse),615
ACSF3_MOUSE,Q3URE1,ACSF3_MOUSE,reviewed,"Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)",Acsf3,Mus musculus (Mouse),583
ACSL1_MOUSE,P41216,ACSL1_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24),Acsl1 Acsl2 Facl2,Mus musculus (Mouse),699
ACSL4_MOUSE,Q9QUJ7,ACSL4_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4),Acsl4 Acs4 Facl4,Mus musculus (Mouse),711
ACSL5_MOUSE,Q8JZR0,ACSL5_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5),Acsl5 Facl5,Mus musculus (Mouse),683
ACSL6_MOUSE,Q91WC3,ACSL6_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6),Acsl6 Facl6,Mus musculus (Mouse),697
ACSM1_MOUSE,Q91VA0,ACSM1_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1)",Acsm1 Bucs1 Lae Macs1,Mus musculus (Mouse),573
ACSM2_MOUSE,Q8K0L3,ACSM2_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM2, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2) (Butyryl-coenzyme A synthetase 2) (Middle-chain acyl-CoA synthetase 2)",Acsm2,Mus musculus (Mouse),575
ACSM3_MOUSE,Q3UNX5,ACSM3_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Propionate--CoA ligase) (EC 6.2.1.17) (Protein SA homolog)",Acsm3 Sa Sah,Mus musculus (Mouse),580
ACSM5_MOUSE,Q8BGA8,ACSM5_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2)",Acsm5 Macs3,Mus musculus (Mouse),578
ACSS3_MOUSE,Q14DH7,ACSS3_MOUSE,reviewed,"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss3,Mus musculus (Mouse),682
ACTBL_MOUSE,Q8BFZ3,ACTBL_MOUSE,reviewed,Beta-actin-like protein 2 (Kappa-actin),Actbl2,Mus musculus (Mouse),376
ACTB_MOUSE,P60710,ACTB_MOUSE,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",Actb,Mus musculus (Mouse),375
ACTC_MOUSE,P68033,ACTC_MOUSE,reviewed,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]",Actc1 Actc,Mus musculus (Mouse),377
ACTN1_MOUSE,Q7TPR4,ACTN1_MOUSE,reviewed,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Actn1,Mus musculus (Mouse),892
ACTN4_MOUSE,P57780,ACTN4_MOUSE,reviewed,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Actn4,Mus musculus (Mouse),912
ACTY_MOUSE,Q8R5C5,ACTY_MOUSE,reviewed,Beta-centractin (Actin-related protein 1B) (ARP1B),Actr1b,Mus musculus (Mouse),376
