ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
674,"Gamma-secretase complex (Aph1a, Ncstn, Psen1, Psenen, Tmp21)",Mouse,None,None,P49769;P57716;Q8BVF7;Q9CQR7;Q9D1D4,19164;59287;226548;66340;68581,MI:0019-coimmunoprecipitation,GO:0016485;GO:0033619,protein processing;membrane protein proteolysis,14.07.11,protein processing (proteolytic),16641999,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2;Transmembrane emp24 domain-containing protein 10,Psen1;Ncstn;Aph1a;Psenen;Tmed10,Ad3h Psnl1;None;None;Pen2;Tmp21
675,TMP21-P24 complex,Mouse,None,None,P97799;Q9D1D4,22360;68581,MI:0019- coimmunoprecipitation,GO:0016192;GO:0005783;GO:0005794,vesicle-mediated transport;endoplasmic reticulum;Golgi apparatus,20.09.07;70.07;70.08,"vesicular transport (Golgi network, etc.);endoplasmic reticulum;Golgi",16641999,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Neurensin-1 ;Transmembrane emp24 domain-containing protein 10,Nrsn1;Tmed10,Vmp;Tmp21
676,Metallothionein-3 complex,Mouse,None,brain,O08553;P11499;P28184;P60710;Q04447;Q61696,12934;15516;17751;11461;12709;193740,MI:0004- affinity chromatography technologies;MI:0069- mass spectrometry studies of complexes,None,None,None,None,17018872,None,None,Metallothionein-3 consists of 16 proteins but only five were identified.,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Dihydropyrimidinase-related protein 2 ;Heat shock protein HSP 90-beta ;Metallothionein-3 ;Actin, cytoplasmic 1;Creatine kinase B-type ;Heat shock 70 kDa protein 1A",Dpysl2;Hsp90ab1;Mt3;Actb;Ckb;Hspa1a,Crmp2 Ulip2;Hsp84 Hsp84-1 Hspcb;;None;Ckbb;Hsp70-3 Hsp70A1
677,Mt3-Hsp84-Ck complex,Mouse,None,brain,P11499;P28184;Q04447,15516;17751;12709,MI:0019- coimmunoprecipitation,None,None,None,None,17018872,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Heat shock protein HSP 90-beta ;Metallothionein-3 ;Creatine kinase B-type,Hsp90ab1;Mt3;Ckb,Hsp84 Hsp84-1 Hspcb;;Ckbb
679,Tis7-Sin3-Hdac1-Ncor1-Sap30 complex,Mouse,None,None,O09106;O88574;P19182;Q60974;Q62141,433759;60406;15982;20185;20467,MI:0018- two hybrid; MI:0019- coimmunoprecipitation,GO:0006265;GO:0045892;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;42.10.03;70.10,DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;nucleus,12198164,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Histone deacetylase complex subunit SAP30 ;Interferon-related developmental regulator 1 ;Nuclear receptor corepressor 1 ;Paired amphipathic helix protein Sin3b,Hdac1;Sap30;Ifrd1;Ncor1;Sin3b,None;;Tis7;Rxrip13;Kiaa0700
694,Bad-Gk-Wave1-Pkaca-Ppp1cc complex,Mouse,None,None,P05132;P52792;Q3U7K1;Q3U9H3;Q8R5H6,18747;103988;19047;12015;83767,MI:0019- coimmunoprecipitation,GO:0006111;GO:0006110;GO:0006915;GO:0005739,regulation of gluconeogenesis;regulation of glycolytic process;apoptotic process;mitochondrion,02.01.03;40.10.02;70.16,regulation of glycolysis and gluconeogenesis;apoptosis (type I programmed cell death);mitochondrion,12931191,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"cAMP-dependent protein kinase catalytic subunit alpha ;Glucokinase ;Serine/threonine-protein phosphatase ;Bcl-associated death promoter, isoform CRA_a ;Wiskott-Aldrich syndrome protein family member 1",Prkaca;Gck;;Bad;Wasf1,Pkaca;Gk;;;Wave1
716,PU.1-associated protein complex,Mouse,None,None,P09405;P17433;P31809;P70696;Q9Z2D6,17975;20375;26365;319177;17257,MI:0004- affinity chromatography technologies,GO:2001141;GO:0006355;GO:0003677;GO:0005634,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus",11.02.03.04;16.03.01;70.10,transcriptional control;DNA binding;nucleus,14647463,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Nucleolin;Transcription factor PU.1;Carcinoembryonic antigen-related cell adhesion molecule 1 ;Histone H2B type 1-A ;Methyl-CpG-binding protein 2,Ncl;Spi1;Ceacam1;Hist1h2ba;Mecp2,Nuc;Sfpi-1 Sfpi1;Bgp Bgp1;Th2b;None
717,PU.1-Sin3A-Hdac-MeCP2 complex,Mouse,None,None,O09106;P17433;Q60520;Q9Z2D6,433759;20375;20466;17257,MI:0004-affinity chromatography technologies,GO:0006265;GO:0045892;GO:0006476;GO:0003677;GO:0051276;GO:0030218;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;DNA binding;chromosome organization;erythrocyte differentiation;nucleus",10.01.09.05;11.02.03.04.03;14.07.04;16.03.01;42.10.03;43.03.07;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;blood cell;nucleus",14647463,The authors suggest that MeCP2 acts as a corepressor of PU.1 probably due to facilitating complex formation with mSin3A and HDACs.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Transcription factor PU.1;Paired amphipathic helix protein Sin3a;Methyl-CpG-binding protein 2,Hdac1;Spi1;Sin3a;Mecp2,None;Sfpi-1 Sfpi1;Kiaa4126;None
718,TRPV5-S100A10-annexin 2 complex,Mouse,None,epithelium,P07356;P08207;P69744,12306;20194;194352,MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation,GO:0006605;GO:0015031;GO:0006812;GO:0005216;GO:0005886,protein targeting;protein transport;cation transport;ion channel activity;plasma membrane,14.04;20.01.10;20.01.01.01;20.03.01.01;70.02,"protein targeting, sorting and translocation;protein transport;cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;eukaryotic plasma membrane / membrane attached",12660155,Downregulation of annexin 2  inhibited TRPV5 and TRPV6-mediated currents in transfected HEK293 cells.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Annexin A2;Protein S100-A10;Transient receptor potential cation channel subfamily V member 5,Anxa2;S100a10;Trpv5,"Anx2, Cal1h;Cal1l;None"
719,S100A10-annexin 2 complex,Mouse,None,None,P07356;P08207,12306;20194,MI:0019-coimmunoprecipitation,GO:0006886;GO:0006605;GO:0015031;GO:0005509,intracellular protein transport;protein targeting;protein transport;calcium ion binding,14.04;20.01.10;16.17.01,"protein targeting, sorting and translocation;protein transport;calcium binding",12660155,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Annexin A2;Protein S100-A10,Anxa2;S100a10,"Anx2, Cal1h;Cal1l"
802,Cdc42-Par6b-Par3-Prkci complex,Mouse,None,COS-7 cells,P60766;Q62074;Q99NH2;Q9JK83,12540;18759;93742;58220,MI:0007-anti tag coimmunoprecipitation,GO:0007264;GO:0051211;GO:0009798;GO:0007043;GO:0030054,small GTPase mediated signal transduction;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction,30.01.05.05.01;40.01.03;41.05.19;42.06.04;70.06,small GTPase mediated signal transduction;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction,10934474,"The results indicate that Cdc42, in the GTP-bound state, links to the Par3-PKC-lambda/iota complex through Par6.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Cell division control protein 42 homolog;Protein kinase C iota type;Partitioning defective 3 homolog;Partitioning defective 6 homolog beta,Cdc42;Prkci;Pard3;Pard6b,"None;Pkcl, aPKClambda;Par3;Par6b"
935,Scrib-APC-beta-catenin complex,Mouse,None,brain,Q02248;Q61315;Q80U72,12387;11789;105782,MI:0006- anti bait coimmunoprecipitation,GO:0051211;GO:0009798;GO:0007043;GO:0030182;GO:0030855;GO:0002009;GO:0007416,anisotropic cell growth;axis specification;cell-cell junction assembly;neuron differentiation;epithelial cell differentiation;morphogenesis of an epithelium;synapse assembly,40.01.03;41.05.19;42.06.04;43.03.13;45.03.09;41.05.13.01,directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);neuron;epithelium;synaptogenesis,16611247,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Catenin beta-1;Adenomatous polyposis coli protein ;Protein scribble homolog,Ctnnb1;Apc;Scrib,Catnb;;Kiaa0147 Lap4 Scrib1
952,Kif13a-AP1 complex,Mouse,None,brain,O35643;P22892;P35585;Q8CA55,11764;11765;11767;16553,MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0018-two hybrid;MI:0027-cosedimentation,GO:0015031;GO:0008565;GO:0016192,protein transport;protein transporter activity;vesicle-mediated transport,20.01.10;20.09.07,"protein transport;vesicular transport (Golgi network, etc.)",11106728,KIF13A transports the mannose-6-phosphate receptor to the plasma membrane through direct interaction with AP-1 complex.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),AP-1 complex subunit beta-1;AP-1 complex subunit gamma-1;AP-1 complex subunit mu-1;Putative uncharacterized protein,Ap1b1;Ap1g1;Ap1m1;Kif13a,Adtb1;Adtg Clapg1;Cltnm;None
953,Vcp-Ufd1-Npl4-IP3 receptor complex,Mouse,p97-Ufd1-Npl4-IP3 receptor complex,None,P11881;P60670;P70362;Q01853,16438;217365;22230;269523,MI:0006-anti bait coimmunoprecipitation,GO:0043161;GO:0006511;GO:0005515;GO:0005783;GO:0048015,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;endoplasmic reticulum;phosphatidylinositol-mediated signaling,14.13.01.01;16.01;70.07,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;endoplasmic reticulum,16103111,The p97-Ufd1-Npl4 complex couples ubiquitinated IP3 receptors to proteasomal degradation and plays a key role in IP3 receptor processing. These data also establish that the p97-Ufd1-Npl4 complex mediates endoplasmic reticulum-associated degradation in mammalian cells.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Inositol 1,4,5-trisphosphate receptor type 1;Nuclear protein localization protein 4 homolog;Ubiquitin fusion degradation protein 1 homolog;Transitional endoplasmic reticulum ATPase",Itpr1;Nploc4;Ufd1l;Vcp,Insp3r Pcd6 Pcp1;Kiaa1499 Npl4;None;p97
970,Rab11Fip2-Ap2a complex,Mouse,None,None,P17426;Q3U366,11771;74998,MI:0096-pull down,GO:0006898,receptor-mediated endocytosis,20.09.18.09.01.01,receptor-mediated endocytosis,12364336,Rab11-FIP2 influences endocytosis through its ability to interact with the adaptor complex AP-2.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),AP-2 complex subunit alpha-1;Putative uncharacterized protein,Ap2a1;Rab11fip2,Adtaa Clapa1;None
973,Sec61alpha-CollagenIV-Hsp47 complex,Mouse,None,None,P02463;P19324;P61620,12826;12406;53421,MI:0019- coimmunoprecipitation,GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0005783,intracellular protein transport;protein targeting;protein transport;protein complex assembly;endoplasmic reticulum,14.04;20.01.10;14.10;70.07,"protein targeting, sorting and translocation;protein transport;assembly of protein complexes;endoplasmic reticulum",12532224,Sec61a may form complexes with Hsp47 and other ER proteins during the constitutive synthesis of collagen IV by F9 cells after retinoic acid treatment.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Collagen alpha-1;Serpin H1 ;Protein transport protein Sec61 subunit alpha isoform 1,Col4a1;Serpinh1;Sec61a1,;Cbp1 Hsp47;Sec61a
975,Ocrl-Cdc42 complex,Mouse,None,None,P60766;Q6NVF0,12540;320634,MI:0096- pull down,GO:0006886;GO:0006605;GO:0015031;GO:0005794,intracellular protein transport;protein targeting;protein transport;Golgi apparatus,14.04;20.01.10;70.08,"protein targeting, sorting and translocation;protein transport;Golgi",12915445,"Cdc42 associates significantly with OCRL1 RhoGAP in GST pulldown and membrane translocation assays, no interaction between endogenous OCRL1 and Cdc42 could be detected in coimmunoprecipitation experiments (PMID:12915445).",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Cell division control protein 42 homolog;Inositol polyphosphate 5-phosphatase OCRL-1,Cdc42;Ocrl,None;
990,Agap11-AP3 complex,Mouse,None,None,Q8BSZ2;Q8BXK8;Q8R2R9;Q9JKC8;Q9Z1T1,11778;347722;64933;55946;11774,MI:0019- coimmunoprecipitation,GO:0016192;GO:0005768,vesicle-mediated transport;endosome,20.09.07;70.22,"vesicular transport (Golgi network, etc.);endosome",12967569,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"AP-3 complex subunit sigma-2 ;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 ;AP-3 complex subunit mu-2 ;AP-3 complex subunit mu-1 ;AP-3 complex subunit beta-1",Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1,;Centg2 Kiaa1099;;;
993,Kif5b-Dtnb complex,Mouse,None,COS cells,O70585;Q61768,13528;16573,MI:0096-pull down,GO:0006886;GO:0006605;GO:0015031;GO:0006928,intracellular protein transport;protein targeting;protein transport;movement of cell or subcellular component,14.04;20.01.10;34.05,"protein targeting, sorting and translocation;protein transport;cell motility",14600269,The authors suggest that the interaction between dystrobrevins and Kif5a/b might be important for the transport of components of the DPC to the neuronal membrane.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Dystrobrevin beta;Kinesin-1 heavy chain,Dtnb;Kif5b,"None;Khcs, Kns1"
1001,DNA synthesome complex,Mouse,MRC complex (Multiprotein DNA Replication Complex); 17S DNA polymerase multiprotein complex; multiprotein form of DNA polymerase,None,O35654;P17918;P20664;P33609;P33610;P33611;P37913;P52431;Q01320;Q04750;Q9CWP8;Q9EQ28,18972;18538;19075;18968;19076;18969;16881;18971;21973;21969;69745;67967,MI:0226-ion exchange chromatography,GO:0006260;GO:0005634,DNA replication;nucleus,10.01.03;70.10,DNA synthesis and replication;nucleus,8126085,This complex associates also with a not further characterized DNA helicase.,None,"Since the authors did not specify Top2, we used Top2a.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),DNA polymerase delta subunit 2;Proliferating cell nuclear antigen;DNA primase small subunit;DNA polymerase alpha catalytic subunit;DNA primase large subunit;DNA polymerase alpha subunit B;DNA ligase 1;DNA polymerase delta catalytic subunit;DNA topoisomerase 2-alpha;DNA topoisomerase 1;DNA polymerase delta subunit 4;DNA polymerase delta subunit 3,Pold2;Pcna;Prim1;Pola1;Prim2;Pola2;Lig1;Pold1;Top2a;Top1;Pold4;Pold3,None;None;None;Pola;None;None;Lig-1;None;Top-2 Top2;Top-1;None;None
1002,Cask-Dlg1 complex,Mouse,None,None,O70589;Q811D0,12361;13383,MI:0019-coimmunoprecipitation,None,None,None,None,15266631,CASK and Dlg may act as a scaffold for organizing receptors and channels at the postsynaptic membrane of the neuromuscular junction (PMID:15266631).,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Peripheral plasma membrane protein CASK;Disks large homolog 1,Cask;Dlg1,"mLin-2;Dlgh1, SAP97"
1035,OAP-1-OSP/claudin-11-ITGB1 complex,Mouse,None,brain and oligodendrocyte homogenates,P09055;Q60771;Q9QY33,16412;18417;56434,MI:0006-anti bait coimmunoprecipitation;MI:0663-confocal microscopy,GO:0016477;GO:0030182;GO:0007399;GO:0007417;GO:0005886;GO:0008347;GO:0042552,cell migration;neuron differentiation;nervous system development;central nervous system development;plasma membrane;glial cell migration;myelination,34.05.01;43.03.13;47.03.01;47.03.01.01;70.02,cell migration;neuron;nervous system;central nervous system;eukaryotic plasma membrane / membrane attached,11309411,"Surface biotinylation and immunoelectron microscopy demonstrated the presence of OSP/claudin-11 and OAP-1 (Tspan3) on the oligodendrocyte membrane surface, but it is still not clear whether OSP/claudin-11 complexes with OAP-1 and \u00df1 integrin at TJs.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-1;Claudin-11 ;Tetraspanin-3,Itgb1;Cldn11;Tspan3,None;Osp Otm;Tm4sf8
1112,Psd-Actn1 complex,Mouse,None,hippocampal neurons,Q5DTT2;Q7TPR4,73728;109711,MI:0019-coimmunoprecipitation;MI:0018-two hybrid;MI:0096-pull down,GO:0031175,neuron projection development,None,None,17298598,EFA6A may form a protein complex with alpha-actinin and activate ARF6 in close proximity of the actin cytoskeleton and membrane proteins in the dendritic spines (PMID:17298598).,None,None,Mus musculus (Mouse);Mus musculus (Mouse),PH and SEC7 domain-containing protein 1;Alpha-actinin-1,Psd;Actn1,"Efa6a,Kiaa2011,Psd1;None"
1157,"PS1-E-cadherin-catenin complex, brain",Mouse,None,brain,P09803;P15116;P49769;Q02248,12550;12558;19164;12387,MI:0006- anti bait coimmunoprecipitation,GO:0005509;GO:0016337;GO:0045216;GO:0007043;GO:0005911,calcium ion binding;single organismal cell-cell adhesion;cell-cell junction organization;cell-cell junction assembly;cell-cell junction,16.17.01;34.07.01;42.06.04;70.06.04,calcium binding;cell-cell adhesion;intercellular junction (gap junction/adherens junction);intercellular junction (gap junction/adherens junction),10635315,PS1 concentrates at intercellular contacts in epithelial tissue; in brain it forms complexes with both E- and N-cadherin and concentrates at synaptic adhesions.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Cadherin-1 ;Cadherin-2;Presenilin-1;Catenin beta-1,Cdh1;Cdh2;Psen1;Ctnnb1,;None;Ad3h Psnl1;Catnb
1246,ERdj3-BiP complex,Mouse,None,None,P20029;Q99KV1,14828;67838,MI:0007- anti tag coimmunoprecipitation,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,15525676,"ERdj3, a stress-inducible endoplasmic reticulum DnaJ homologue, serves as a cofactor for interactions of the chaperone BiP with unfolded substrates.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),78 kDa glucose-regulated protein ;DnaJ homolog subfamily B member 11,Hspa5;Dnajb11,Grp78;
1449,Dlg3-Lin7a-Dlg1 complex,Mouse,Dlg3-Lin7-SAP97 complex,"MDCK cells, epithelium",P70175;Q811D0;Q8JZS0,53310;13383;108030,MI:0019-coimmunoprecipitation,GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798,intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification,14.04;20.01.10;40.01.03;41.05.19,"protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination",12351654,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Disks large homolog 3;Disks large homolog 1;Protein lin-7 homolog A,Dlg3;Dlg1;Lin7a,"Dlgh3;Dlgh1, SAP97;Mals1, Veli1"
1469,E2f5-Rbl2-Hdac1 complex,Mouse,E2F5-p130-HDAC1 complex,None,O09106;Q61502;Q64700,433759;13559;19651,MI:0019- coimmunoprecipitation,GO:0007050;GO:0003677;GO:0030216,cell cycle arrest;DNA binding;keratinocyte differentiation,10.03.01.02;16.03.01;43.03.04,cell cycle arrest;DNA binding;epidermal cell (e.g. keratinocytes),11319226,"Induction of differentiation in mouse keratinocytes results in formation of E2f5-Rbl2-Hdac1 complex, which can trigger keratinocyte entry into quiescence.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Transcription factor E2F5 ;Retinoblastoma-like protein 2,Hdac1;E2f5;Rbl2,None;;
1503,Hdac1-Mecp2-Rcor1-Sin3a complex,Mouse,None,None,O09106;Q60520;Q8CFE3;Q9Z2D6,433759;20466;217864;17257,MI:0019- coimmunoprecipitation,GO:0045892,"negative regulation of transcription, DNA-templated",11.02.03.04.03,transcription repression,15907476,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Paired amphipathic helix protein Sin3a;REST corepressor 1 ;Methyl-CpG-binding protein 2,Hdac1;Sin3a;Rcor1;Mecp2,None;Kiaa4126;D12Wsu95e Kiaa0071;None
1523,Stat3-Crebbp complex,Mouse,None,None,P42227;P45481,20848;12914,MI:0402- chromatin immunoprecipitation assays,GO:0007420,brain development,47.03.01.01.01,brain,15852015,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Signal transducer and activator of transcription 3 ;CREB-binding protein,Stat3;Crebbp,Aprf;Cbp
1549,Kpna2-Kpnb1 complex,Mouse,None,None,P52293;P70168,16647;16211,MI:0114- x-ray crystallography; MI:0027- cosedimentation; MI:0016- circular dichroism,GO:0015031;GO:0008565;GO:0006810;GO:0005634,protein transport;protein transporter activity;transport;nucleus,20.01.10;20;70.10,"protein transport;CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES;nucleus",11448961,"The importin-alpha/beta complex binds representative monopartite NLS (simian virus 40 large T-antigen) and bipartite NLS (nucleoplasmin) with affinities (K(D) = 3.5 x 10(-8) m and 4.8 x 10(-8) m, respectively).",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Importin subunit alpha-1 ;Importin subunit beta-1,Kpna2;Kpnb1,Rch1;Impnb
1609,"G protein complex (Gngt2, Kcnj3, Gnb1)",Mouse,None,None,P62874;P63250;Q61017,14688;16519;14710,MI:0096- pull down,GO:0007186;GO:0023052,G-protein coupled receptor signaling pathway;signaling,30.05.02.24;30.01,G-protein coupled receptor signalling pathway;cellular signalling,12743112,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Guanine nucleotide-binding protein G;G protein-activated inward rectifier potassium channel 1 ;Guanine nucleotide-binding protein G,Gnb1;Kcnj3;Gngt2,None;Girk1;Gng8 Gngt8
1610,"G protein complex (Gngt2, Kcnj6, Gnb1)",Mouse,None,None,P48542;P62874;Q61017,16522;14688;14710,MI:0096- pull down,GO:0007186;GO:0023052,G-protein coupled receptor signaling pathway;signaling,30.05.02.24;30.01,G-protein coupled receptor signalling pathway;cellular signalling,12743112,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),G protein-activated inward rectifier potassium channel 2 ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G,Kcnj6;Gnb1;Gngt2,Girk2 Kcnj7 W;None;Gng8 Gngt8
1730,Nfatc2ip-Prmt1 complex,Mouse,None,None,O09130;Q60591;Q9JIF0,18020;18019;15469,MI:0019-coimmunoprecipitation,None,None,None,None,15327772,"NFATc2, NIP45, and PRMT1 form a ternary complex as evidenced by the fact that PRMT1 and NFATc2 association is substantially promoted by the presence of full-length NIP45 but much less so by the presence of ?N-NIP45. he amino terminus of NIP45 may serve a dual function in supporting NFAT interaction and recruiting PRMT1 to the NFAT transcription-activating complex.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"NFATC2-interacting protein;Nuclear factor of activated T-cells, cytoplasmic 2;Protein arginine N-methyltransferase 1",Nfatc2ip;Nfatc2;Prmt1,Nip45;Nfat1 Nfatp;Hrmt1l2 Mrmt1
1778,TGF-beta-receptor-Strap complex,Mouse,None,COS cells,Q62312;Q64729;Q9Z1Z2,21813;21812;20901,MI:0007-anti tag coimmunoprecipitation,GO:0007179;GO:0005737,transforming growth factor beta receptor signaling pathway;cytoplasm,30.05.01.18.01;70.03,TGF-beta-receptor signalling pathway;cytoplasm,9856985,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),TGF-beta receptor type-2;TGF-beta receptor type-1;Serine-threonine kinase receptor-associated protein,Tgfbr2;Tgfbr1;Strap,None;None;Unrip
2147,Aip-Hsp90-Ahr complex,Mouse,None,None,O08915;P11499;P30561,11632;15516;11622,MI:0018- two hybrid; MI:0019- coimmunoprecipitation,GO:2001141;GO:0006355;GO:0006886;GO:0006605;GO:0015031;GO:0005737,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;intracellular protein transport;protein targeting;protein transport;cytoplasm",11.02.03.04;14.04;20.01.10;70.03,"transcriptional control;protein targeting, sorting and translocation;protein transport;cytoplasm",9083006,The authors suggest that AIP influences ligand receptivity and/or nuclear targeting of AhR.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),AH receptor-interacting protein ;Heat shock protein HSP 90-beta ;Aryl hydrocarbon receptor,Aip;Hsp90ab1;Ahr,;Hsp84 Hsp84-1 Hspcb;
2169,"Ubiquitin E3 ligase (Neurl2, Tceb1, Tceb2, Cul5, Rbx1)",Mouse,Ozz-E3,None,P62869;P62878;P83940;Q9D0S4;Q9D5V5,67673;56438;67923;415115;75717,MI:0019-coimmunoprecipitation,GO:0016567;GO:0043161;GO:0006511;GO:0007519;GO:0014706,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;skeletal muscle tissue development;striated muscle tissue development,14.07.05;14.13.01.01;41.05.15;45.03.12.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);myogenesis;striated muscle",14960280,"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. In the differentiating myofibers, the RING-type ubiquitin E3 ligase (containing Neurl2, Tceb1, Tceb2, Cul5 and Rbx1) regulates the levels of sarcolemma-associated beta-catenin by mediating its degradation via the proteasome. Expression of beta-catenin mutants that reduce the binding of Ozz to endogenous beta-catenin leads to Mb-beta-catenin accumulation and myofibrillogenesis defects similar to those observed in Ozz None myocytes.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Transcription elongation factor B polypeptide 2;E3 ubiquitin-protein ligase RBX1;Transcription elongation factor B polypeptide 1;Neuralized-like protein 2;Cullin-5,Tceb2;Rbx1;Tceb1;Neurl2;Cul5,None;None;None;Ozz;None
