yourlist:M20220311F248CABF64506F29A91F8037F07B67D145D581K,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q7TMS5,Q7TMS5,ABCG2_MOUSE,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein 1 homolog) (Urate exporter) (CD antigen CD338),Abcg2 Abcp Bcrp1,Mus musculus (Mouse),657
Q8R2Y0,Q8R2Y0,ABHD6_MOUSE,reviewed,Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6),Abhd6,Mus musculus (Mouse),336
Q8K4F5,Q8K4F5,ABHDB_MOUSE,reviewed,Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein homolog),Abhd11 Wbscr21,Mus musculus (Mouse),307
Q8VCR7,Q8VCR7,ABHEB_MOUSE,reviewed,Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B),Abhd14b Cib,Mus musculus (Mouse),210
Q5SWU9,Q5SWU9,ACACA_MOUSE,reviewed,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) (Acetyl-CoA carboxylase 265),Acaca Acac Gm738,Mus musculus (Mouse),2345
E9Q4Z2,E9Q4Z2,ACACB_MOUSE,reviewed,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),Acacb Acc2 Accb,Mus musculus (Mouse),2448
Q9D7B6,Q9D7B6,ACAD8_MOUSE,reviewed,"Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",Acad8,Mus musculus (Mouse),413
Q8JZN5,Q8JZN5,ACAD9_MOUSE,reviewed,"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)",Acad9,Mus musculus (Mouse),625
P51174,P51174,ACADL_MOUSE,reviewed,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)",Acadl,Mus musculus (Mouse),430
P45952,P45952,ACADM_MOUSE,reviewed,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)",Acadm,Mus musculus (Mouse),421
Q07417,Q07417,ACADS_MOUSE,reviewed,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)",Acads,Mus musculus (Mouse),412
P50544,P50544,ACADV_MOUSE,reviewed,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)",Acadvl Vlcad,Mus musculus (Mouse),656
Q5XG73,Q5XG73,ACBD5_MOUSE,reviewed,Acyl-CoA-binding domain-containing protein 5,Acbd5,Mus musculus (Mouse),508
P31786,P31786,ACBP_MOUSE,reviewed,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),Dbi,Mus musculus (Mouse),87
Q8K370,Q8K370,ACD10_MOUSE,reviewed,Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-),Acad10,Mus musculus (Mouse),1069
Q80XL6,Q80XL6,ACD11_MOUSE,reviewed,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-),Acad11,Mus musculus (Mouse),779
Q9DBL1,Q9DBL1,ACDSB_MOUSE,reviewed,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",Acadsb,Mus musculus (Mouse),432
Q91V92,Q91V92,ACLY_MOUSE,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme),Acly,Mus musculus (Mouse),1091
A2AKK5,A2AKK5,ACNT1_MOUSE,reviewed,Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-),Acnat1,Mus musculus (Mouse),416
Q9DBK0,Q9DBK0,ACO12_MOUSE,reviewed,Acetyl-coenzyme A thioesterase (EC 3.1.2.1) (Acyl-CoA thioester hydrolase 12) (Acyl-coenzyme A thioesterase 12) (Acyl-CoA thioesterase 12) (Cytoplasmic acetyl-CoA hydrolase 1) (CACH-1) (mCACH-1),Acot12 Cach Cach1,Mus musculus (Mouse),556
Q9CQR4,Q9CQR4,ACO13_MOUSE,reviewed,Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2),Acot13 Them2,Mus musculus (Mouse),140
P28271,P28271,ACOHC_MOUSE,reviewed,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),Aco1 Ireb1 Irebp,Mus musculus (Mouse),889
Q99KI0,Q99KI0,ACON_MOUSE,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,Mus musculus (Mouse),780
O55137,O55137,ACOT1_MOUSE,reviewed,Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2),Acot1 Cte1,Mus musculus (Mouse),419
Q8BWN8,Q8BWN8,ACOT4_MOUSE,reviewed,Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib),Acot4 Pte1b Pte2b,Mus musculus (Mouse),421
Q9R0H0,Q9R0H0,ACOX1_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]",Acox1 Acox Paox,Mus musculus (Mouse),661
Q9QXD1,Q9QXD1,ACOX2_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 2 (EC 1.17.99.3) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase) (Trihydroxycoprostanoyl-CoA oxidase) (THCA-CoA oxidase) (THCCox)",Acox2,Mus musculus (Mouse),681
Q9QXG4,Q9QXG4,ACSA_MOUSE,reviewed,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss2 Acas2 Acecs1,Mus musculus (Mouse),701
Q8VCW8,Q8VCW8,ACSF2_MOUSE,reviewed,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)",Acsf2,Mus musculus (Mouse),615
Q3URE1,Q3URE1,ACSF3_MOUSE,reviewed,"Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)",Acsf3,Mus musculus (Mouse),583
P41216,P41216,ACSL1_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24),Acsl1 Acsl2 Facl2,Mus musculus (Mouse),699
Q9QUJ7,Q9QUJ7,ACSL4_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4),Acsl4 Acs4 Facl4,Mus musculus (Mouse),711
Q8JZR0,Q8JZR0,ACSL5_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5),Acsl5 Facl5,Mus musculus (Mouse),683
Q91VA0,Q91VA0,ACSM1_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1)",Acsm1 Bucs1 Lae Macs1,Mus musculus (Mouse),573
Q3UNX5,Q3UNX5,ACSM3_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Propionate--CoA ligase) (EC 6.2.1.17) (Protein SA homolog)",Acsm3 Sa Sah,Mus musculus (Mouse),580
Q8BGA8,Q8BGA8,ACSM5_MOUSE,reviewed,"Acyl-coenzyme A synthetase ACSM5, mitochondrial (EC 6.2.1.2)",Acsm5 Macs3,Mus musculus (Mouse),578
Q14DH7,Q14DH7,ACSS3_MOUSE,reviewed,"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Propionate--CoA ligase) (EC 6.2.1.17)",Acss3,Mus musculus (Mouse),682
Q8BFZ3,Q8BFZ3,ACTBL_MOUSE,reviewed,Beta-actin-like protein 2 (Kappa-actin),Actbl2,Mus musculus (Mouse),376
P60710,P60710,ACTB_MOUSE,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",Actb,Mus musculus (Mouse),375
P68033,P68033,ACTC_MOUSE,reviewed,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]",Actc1 Actc,Mus musculus (Mouse),377
P63260,P63260,ACTG_MOUSE,reviewed,"Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]",Actg1 Actg,Mus musculus (Mouse),375
Q7TPR4,Q7TPR4,ACTN1_MOUSE,reviewed,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Actn1,Mus musculus (Mouse),892
P57780,P57780,ACTN4_MOUSE,reviewed,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Actn4,Mus musculus (Mouse),912
Q8R5C5,Q8R5C5,ACTY_MOUSE,reviewed,Beta-centractin (Actin-related protein 1B) (ARP1B),Actr1b,Mus musculus (Mouse),376
Q99JW2,Q99JW2,ACY1_MOUSE,reviewed,Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),Acy1,Mus musculus (Mouse),408
Q91XE4,Q91XE4,ACY3_MOUSE,reviewed,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) (EC 3.5.1.114) (Acylase III) (Aminoacylase III) (AAIII) (Aminoacylase-3) (ACY-3) (Aspartoacylase-2) (Hepatitis C virus core-binding protein 1) (HCBP1),Acy3 Aspa2,Mus musculus (Mouse),318
Q80V03,Q80V03,ADCK5_MOUSE,reviewed,Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-),Adck5,Mus musculus (Mouse),582
P00329,P00329,ADH1_MOUSE,reviewed,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit),Adh1 Adh-1,Mus musculus (Mouse),375
Q9QYY9,Q9QYY9,ADH4_MOUSE,reviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH4 (EC 1.1.1.105) (ADH2) (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II) (Alcohol dehydrogenase II),Adh4 Adh2,Mus musculus (Mouse),377
P28474,P28474,ADHX_MOUSE,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase B2) (ADH-B2) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),Adh5 Adh-2 Adh2,Mus musculus (Mouse),374
P55264,P55264,ADK_MOUSE,reviewed,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),Adk,Mus musculus (Mouse),361
Q8VDL4,Q8VDL4,ADPGK_MOUSE,reviewed,ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147),Adpgk,Mus musculus (Mouse),496
Q61578,Q61578,ADRO_MOUSE,reviewed,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",Fdxr,Mus musculus (Mouse),494
P48962,P48962,ADT1_MOUSE,reviewed,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)",Slc25a4 Aac1 Anc1 Ant1,Mus musculus (Mouse),298
P51881,P51881,ADT2_MOUSE,reviewed,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",Slc25a5 Aac2 Ant2,Mus musculus (Mouse),298
Q9QZQ1,Q9QZQ1,AFAD_MOUSE,reviewed,Afadin (Afadin adherens junction formation factor) (Protein Af-6),Afdn Af6 Mllt4,Mus musculus (Mouse),1820
Q8JZQ2,Q8JZQ2,AFG32_MOUSE,reviewed,AFG3-like protein 2 (EC 3.4.24.-),Afg3l2,Mus musculus (Mouse),802
Q9CYR6,Q9CYR6,AGM1_MOUSE,reviewed,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3),Pgm3 Agm1 Pgm-3,Mus musculus (Mouse),542
Q3UEG6,Q3UEG6,AGT2_MOUSE,reviewed,"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)",Agxt2,Mus musculus (Mouse),513
Q8BK64,Q8BK64,AHSA1_MOUSE,reviewed,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1),Ahsa1,Mus musculus (Mouse),338
Q9Z0X1,Q9Z0X1,AIFM1_MOUSE,reviewed,"Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)",Aifm1 Aif Pdcd8,Mus musculus (Mouse),612
P31230,P31230,AIMP1_MOUSE,reviewed,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)],Aimp1 Emap2 Scye1,Mus musculus (Mouse),310
Q8R010,Q8R010,AIMP2_MOUSE,reviewed,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Aimp2 Jtv1,Mus musculus (Mouse),320
Q9JII6,Q9JII6,AK1A1_MOUSE,reviewed,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.33) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20),Akr1a1 Akr1a4,Mus musculus (Mouse),325
Q8VC28,Q8VC28,AK1CD_MOUSE,reviewed,Aldo-keto reductase family 1 member C13 (EC 1.1.1.-),Akr1c13,Mus musculus (Mouse),323
Q8VCX1,Q8VCX1,AK1D1_MOUSE,reviewed,Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5-beta-steroid 4-dehydrogenase) (Delta(4)-3-ketosteroid 5-beta-reductase) (Delta(4)-3-oxosteroid 5-beta-reductase),Akr1d1,Mus musculus (Mouse),325
Q8K023,Q8K023,AKC1H_MOUSE,reviewed,Aldo-keto reductase family 1 member C18 (EC 1.1.-.-) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149),Akr1c18,Mus musculus (Mouse),323
