,,,,,,,,,,,,E(t)=1-exp(-k0(t-t0)),,,,,
O35423,7,1,0,0,0,0,0.177702,0.435847,0.80744,0.946164,0.97906,1.21159,0.0953248,0.990369,,SPYA_MOUSE,"Serine--pyruvate aminotransferase, mitochondrial (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)"
O35459,7,5,0,0,0.121252,0.37729,0.74939,0.89791,0.950767,0.978472,0.998265,0.474384,0.335824,0.997963,,ECH1_MOUSE,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)"
O35479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RMXL1_MOUSE,"RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1) (RNA binding motif protein, X chromosome retrogene)"
O35488,33,23,0,0.046987,0.142348,0.367656,0.761127,0.955854,0.979159,0.988655,0.992754,0.388761,0.340115,0.997413,,S27A2_MOUSE,"Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase)"
O35490,27,18,0,0.0407052,0.17278,0.214327,0.505228,0.818499,0.983963,0.985076,0.983219,0.254211,0.19475,0.997395,,BHMT1_MOUSE,Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)
O35604,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,NPC1_MOUSE,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)
O35643,12,10,0,0.0293705,0.134567,0.185907,0.557684,0.818195,0.909906,0.943835,0.934061,0.357044,0.19754,0.994551,,AP1B1_MOUSE,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit)
O35658,3,3,0,0.0765892,0.139733,0.225361,0.422643,0.737892,0.881734,0.979133,0.988651,-0.00569177,0.14696,0.998685,,C1QBP_MOUSE,"Complement component 1 Q subcomponent-binding protein, mitochondrial (GC1q-R protein) (Glycoprotein gC1qBP) (C1qBP)"
O35660,1,1,0,0,0.43272,0.512607,0.738288,0.946829,1,1,1,0.0657321,0.385896,0.993331,,GSTM6_MOUSE,Glutathione S-transferase Mu 6 (EC 2.5.1.18) (GST class-mu 6) (Glutathione-S-transferase class M5)
O35678,2,1,0,0.570864,0.318512,0.733192,0.91218,0.826158,0.695098,0.645887,0.600412,-0.287906,0.520726,0.905252,,MGLL_MOUSE,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol lipase) (MAGL)
O35683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NDUA1_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)
O35728,5,1,0,0,0,0,0,0.34254,0.14139,0.197778,0.592893,0.687546,0.0189443,0.736711,,CP4AE_MOUSE,Cytochrome P450 4A14 (CYPIVA14) (Lauric acid hydroxylase)
O35900,1,1,0,0,0,0,0.411717,0.75955,0.985532,1,1,0.659653,0.156245,0.981197,,LSM2_MOUSE,U6 snRNA-associated Sm-like protein LSm2 (Protein G7b) (snRNP core Sm-like protein Sm-x5)
O35943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,FRDA_MOUSE,"Frataxin, mitochondrial (Fxn) (EC 1.16.3.1) [Cleaved into: Frataxin intermediate form; Frataxin mature form]"
O35945,7,5,0,0.0353882,0.192544,0.487256,0.786363,0.912059,0.986564,0.990831,0.999376,0.334758,0.389175,0.99916,,AL1A7_MOUSE,"Aldehyde dehydrogenase, cytosolic 1 (EC 1.2.1.3) (ALDH class 1) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A7) (Aldehyde dehydrogenase phenobarbital-inducible)"
O35969,9,3,0,0.109003,0.521984,0.848576,0.992974,0.973379,0.98301,0.982984,0.989983,0.275246,1.05517,0.999695,,GAMT_MOUSE,Guanidinoacetate N-methyltransferase (EC 2.1.1.2)
O54734,7,5,0,0.0116829,0.0763032,0.254349,0.374328,0.5303,0.852348,0.892112,0.956304,0.00108126,0.107281,0.996594,,OST48_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)
O54749,5,1,0,0,0,0,0.936266,0.840642,1,1,1,0.802404,0.307563,0.94944,,CP2J5_MOUSE,Cytochrome P450 2J5 (EC 1.14.14.1) (Arachidonic acid epoxygenase) (CYPIIJ5)
O54754,6,3,0,0,0.0225602,0.321725,0.894705,0.91503,0.91302,0.899059,0.971393,0.622685,0.386413,0.983286,,AOXA_MOUSE,Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase)
O54962,3,2,0,0,0.121268,0.267419,0.638739,0.91132,0.989258,0.986516,0.970672,0.501508,0.27212,0.997865,,BAF_MOUSE,"Barrier-to-autointegration factor (LAP2-binding protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]"
O55022,7,5,0,0.0201187,0.179739,0.467067,0.856056,0.990098,0.999082,0.999774,0.999693,0.423549,0.44393,0.998095,,PGRC1_MOUSE,Membrane-associated progesterone receptor component 1 (mPR)
O55029,16,15,0,0.0199043,0.167941,0.391461,0.792326,0.953606,0.975555,0.980018,0.98135,0.417337,0.3706,0.998011,,COPB2_MOUSE,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)
O55060,13,1,0,0,0.190699,0.363657,0.749859,0.884174,0.998067,1,1,0.395969,0.329525,0.998556,,TPMT_MOUSE,Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)
O55125,15,6,0,0.00117083,0.0173822,0.037472,0.114771,0.688224,0.837058,0.960774,0.991874,1.07831,0.117615,0.978745,,NIPS1_MOUSE,Protein NipSnap homolog 1 (NipSnap1)
O55135,7,2,0,0,0.40554,0.585519,0.886742,0.962565,0.943178,0.940246,0.900232,0.324116,0.596478,0.995045,,IF6_MOUSE,Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP))
O55142,3,2,0,0,0,0.0748125,0.294793,0.605031,0.942241,0.974239,1,0.914289,0.132351,0.994424,,RL35A_MOUSE,60S ribosomal protein L35a
O55143,19,7,0,0.00226653,0.0475678,0.335595,0.81655,0.950091,0.939227,0.991594,0.965206,0.589135,0.365256,0.992258,,AT2A2_MOUSE,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)"
O55234,7,1,0,0,0.164012,0.316603,0.596484,0.876291,1,1,1,0.212781,0.237338,0.998363,,PSB5_MOUSE,Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit X)
O55242,4,2,0,0,0.203133,0.455836,0.792949,0.857457,1,0.865743,1,0.379096,0.378761,0.994091,,SGMR1_MOUSE,Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)
O70133,22,10,0,0,0,0.203471,0.7877,0.980139,0.947023,1,0.982047,0.707758,0.327878,0.985136,,DHX9_MOUSE,ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA)
O70152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,DPM1_MOUSE,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)
O70251,5,4,0,0,0.166911,0.271465,0.347107,0.67898,0.904655,0.988665,0.987848,0.0946231,0.139001,0.996604,,EF1B_MOUSE,Elongation factor 1-beta (EF-1-beta)
O70325,3,1,0,0,0.270529,0.597126,1,0.943614,0.964796,0.964193,1,0.187295,0.505814,0.990751,,GPX4_MOUSE,Phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)
O70378,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,EMC8_MOUSE,ER membrane protein complex subunit 8 (Neighbor of COX4)
O70404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,VAMP8_MOUSE,Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (Edb)
O70435,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,PSA3_MOUSE,Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit K)
O70456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1433S_MOUSE,14-3-3 protein sigma (Stratifin)
O70475,8,3,0,0.096793,0.664495,0.853066,0.842464,0.981764,0.998377,0.982061,0.963638,0.293537,1.35832,0.995221,,UGDH_MOUSE,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)
O70492,2,2,0,0,0.169752,0.599233,0.773432,0.925088,0.971439,1,0.982331,0.417144,0.45894,0.996838,,SNX3_MOUSE,Sorting nexin-3 (SDP3 protein)
O70503,8,6,0,0.0532363,0.243385,0.520472,0.759567,0.94934,0.987221,0.984351,0.999736,0.246278,0.393612,0.999755,,DHB12_MOUSE,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (KIK-I)
O70570,3,1,0,0,0,0,0.945595,1,1,0.884342,1,0.805629,0.341391,0.945362,,PIGR_MOUSE,Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component]
O88342,5,3,0,0,0.250144,0.384956,0.704561,0.919564,0.954386,0.96312,0.967857,0.307099,0.32185,0.998169,,WDR1_MOUSE,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1)
O88428,6,5,0,0.106767,0.23707,0.37224,0.832874,0.976923,0.968777,0.958831,0.969763,0.199207,0.360413,0.994611,,PAPS2_MOUSE,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]
O88441,5,1,0,0,1,0.798167,0.917389,0.987277,0.965263,0.976762,1,0.0831633,1.23692,0.964074,,MTX2_MOUSE,Metaxin-2 (Mitochondrial outer membrane import complex protein 2)
O88451,12,6,0,0.019617,0.0980048,0.322959,0.745658,0.899286,0.992703,0.974236,0.99192,0.485487,0.315573,0.996552,,RDH7_MOUSE,Retinol dehydrogenase 7 (EC 1.1.1.105) (Cis-retinol/3alpha-hydroxysterol short-chain dehydrogenase isozyme 2) (Cis-retinol/androgen dehydrogenase type 2) (CRAD-2)
O88456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,CPNS1_MOUSE,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)
O88569,17,11,0,0.0152541,0.0408067,0.241429,0.605168,0.87846,0.984801,0.973337,0.979342,0.58418,0.248698,0.996494,,ROA2_MOUSE,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)
O88587,22,17,0,0.022962,0.254455,0.487855,0.820398,0.958739,0.988508,0.986764,0.996002,0.334889,0.431996,0.999663,,COMT_MOUSE,Catechol O-methyltransferase (EC 2.1.1.6)
O88668,2,1,0,0.967386,1,0.97328,0.990076,1,1,1,0.98469,1.94E-08,9.00806,0.999868,,CREG1_MOUSE,Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)
O88696,7,5,0,0,0.0155877,0.149244,0.389398,0.706922,0.940715,0.962132,0.982889,0.70471,0.15703,0.997992,,CLPP_MOUSE,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)"
O88833,10,3,0,0,0,0,0,0.953384,0.947931,0.987366,0.973278,1.2538,0.152415,0.923657,,CP4AA_MOUSE,Cytochrome P450 4A10 (CYPIVA10) (Cytochrome P450-LA-omega 1) (Cytochrome P452) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)
O88844,20,10,0,0.00115066,0.0972184,0.279678,0.568486,0.835261,0.98843,0.992318,0.993508,0.473368,0.232604,0.999586,,IDHC_MOUSE,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)
O88962,5,3,0,0,0,0,0.714779,0.925512,1,0.99267,0.999287,0.854101,0.263409,0.971495,,CP8B1_MOUSE,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase (EC 1.14.14.139) (7-alpha-hydroxy-4-cholesten-3-one 12-alpha-hydroxylase) (CYPVIIIB1) (Cytochrome P450 8B1) (Sterol 12-alpha-hydroxylase)
O88986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBL_MOUSE,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial (AKB ligase) (EC 2.3.1.29) (Aminoacetone synthase) (Glycine acetyltransferase)"
O89079,2,2,0,0,0,0,0.779103,0.990123,1,1,0.972536,0.840303,0.292948,0.964336,,COPE_MOUSE,Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)
O89086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,RBM3_MOUSE,RNA-binding protein 3 (RNA-binding motif protein 3)
O89106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,FHIT_MOUSE,"Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Adenosine 5'-monophosphoramidase FHIT) (EC 3.9.1.-) (Adenylylsulfatase) (EC 3.6.2.1) (Adenylylsulfate-ammonia adenylyltransferase) (EC 2.7.7.51) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)"
P00186,17,11,0,0.111928,0.585798,0.916729,0.970011,0.976633,0.984781,0.986258,0.983198,0.292115,1.29914,0.999572,,CP1A2_MOUSE,Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P450-P2) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
P00329,18,12,0,0.00416727,0.0650441,0.170306,0.447753,0.764173,0.942959,0.980913,0.991827,0.572715,0.175982,0.998461,,ADH1_MOUSE,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit)
P00375,8,6,0,0,0.0652512,0.243704,0.58844,0.863077,0.967636,0.993331,1,0.568555,0.241261,0.998217,,DYR_MOUSE,Dihydrofolate reductase (EC 1.5.1.3)
P00397,2,1,0,0,0.105198,0.128015,0.748767,0.729912,0.851875,0.956812,1,0.505454,0.220296,0.977303,,COX1_MOUSE,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)
P00405,15,10,0,0.00928717,0.0920015,0.162484,0.38793,0.776789,0.929056,0.98854,0.984722,0.525985,0.165397,0.996765,,COX2_MOUSE,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
P00493,7,6,0,0,0.0384736,0.1983,0.496316,0.922827,1,0.980667,0.993379,0.677604,0.230837,0.993816,,HPRT_MOUSE,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (HPRT B)
P00920,10,1,0,0,0,0,0.961845,0.992225,0.990792,0.997473,0.999834,0.80261,0.344955,0.946703,,CAH2_MOUSE,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)
P01027,43,4,0,0.0800595,0.29199,0.731373,0.858869,0.902938,0.974283,0.995223,0.964838,0.276724,0.609624,0.995841,,CO3_MOUSE,Complement C3 (HSE-MSF) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]
P01029,6,2,0,0,0,0.859839,1,1,0.993841,0.913493,0.88941,0.53332,0.742219,0.969466,,CO4B_MOUSE,Complement C4-B [Cleaved into: Complement C4 beta chain; Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain]
